trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1071,False,"{'a': 0.1, 'e': 0.9594223847877564}",25,10,-60.075372478897116,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 0}",1
1072,False,"{'a': 0.1, 'e': 0.9264789562083721}",25,0,-76.95534547765449,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
1073,False,"{'a': 0.1, 'e': 0.8842784561517736}",30,0,-142.16063227476081,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
1074,False,"{'a': 0.1, 'e': 0.8332425380649079}",20,0,-79.33227545504943,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
1075,False,"{'a': 0.1, 'e': 0.7738811359710619}",25,0,-121.16509831958729,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
1076,False,"{'a': 0.1, 'e': 0.7067873693776765}",20,1,-20.542119881504515,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
1077,False,"{'a': 0.1, 'e': 0.6326316170223213}",20,0,-99.20750325079753,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
1078,False,"{'a': 0.1, 'e': 0.5521548186698774}",20,1,-41.46728486153466,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 0}",1
1079,False,"{'a': 0.1, 'e': 0.4661610718874123}",20,4,-8.4136264715777,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
1080,False,"{'a': 0.1, 'e': 0.3755095977670121}",30,6,2.724873216905988,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
1081,False,"{'a': 0.1, 'e': 0.28110615587268056}",20,10,20.746737954619384,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1082,False,"{'a': 0.1, 'e': 0.1838939941902237}",25,14,16.637107518024,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1083,False,"{'a': 0.1, 'e': 0.08484442450507679}",20,3,5.06565204788034,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
1084,False,"{'a': 0.1, 'e': 0.015052882623872842}",25,10,20.78375458311991,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1085,False,"{'a': 0.1, 'e': 0.1147997863254662}",25,20,7.646852545328739,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1086,False,"{'a': 0.1, 'e': 0.21339964850987359}",20,9,19.112811217051426,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1087,False,"{'a': 0.1, 'e': 0.30986729194690166}",20,5,-41.51705223066185,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
1088,False,"{'a': 0.1, 'e': 0.40323884383131814}",30,13,13.644014583948078,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1089,False,"{'a': 0.1, 'e': 0.4925813664811991}",30,15,-0.16908004421039458,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
1090,False,"{'a': 0.1, 'e': 0.577002178942952}",25,0,14.416899262788217,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
1091,False,"{'a': 0.1, 'e': 0.6556577763642804}",25,0,-177.37729639716648,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
1092,False,"{'a': 0.1, 'e': 0.7277622580158117}",25,0,-19.355733793226204,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
